MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Anwhar Raajhaa,Elected,18-May-14,In office,First,External Affairs,Tamil Nadu,Ramanthapuram,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.Sc.,68,32,0,183,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
A. Arunmozhithevan,Elected,18-May-14,In office,First,Coal & Steel,Tamil Nadu,Cuddalore,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., B.L.",49,33,0,465,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
A.P. Jithender Reddy,Elected,18-May-14,In office,Second,Defence,Telangana,Mahabubnagar,Telangana Rashtra Samithi,Male,Graduate,"Educated at Osmania University, Hyderabad (Telangana)",63,76,4,138,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
A.T. Nana Patil,Elected,18-May-14,In office,Second,Petroleum & Natural Gas and Railways ,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Post Graduate,M.Com.,56,80,17,452,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Abhijit Mukherjee,Elected,18-May-14,In office,Second,Water Resources ,West Bengal,Jangipur,Indian National Congress,Male,Professional Graduate,"B.E. (Mech.), F.I.E./Chartered Engineer
Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata",58,31,0,146,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Abhishek Banerjee,Elected,18-May-14,In office,First,Commerce,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Post Graduate,Post Graduate,30,3,0,45,32%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Abhishek Singh,Elected,18-May-14,In office,First,Information Technology,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Professional Post Graduate,"Engg. (Mech.), M.B.A.",37,17,0,326,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Abu Hasem Khan Choudhury,Elected,18-May-14,In office,Third,"Personnel, Public Grievances, Law and Justice",West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,"Graduate (Degree in Industrial Psychology)
Educated at Northampton College of Technology, England and University of Guleph, Ontario, Canada",80,2,0,0,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Adhikari Deepak (Dev),Elected,18-May-14,In office,First,Defence,West Bengal,Ghatal,All India Trinamool Congress,Male,Graduate,Computer Engineer,35,2,0,0,10%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Adhir Ranjan Chowdhury,Elected,18-May-14,In office,Fourth,Home Affairs,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",61,102,5,168,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
